,time,value
0,1647892630.7115889,-0.5
1,1647893591.3076437,0.5
2,1647894252.221251,-0.5
3,1647894911.7098494,-0.5
4,1647895571.7183938,-0.5
5,1647896232.00134,0.5
6,1647897190.560572,-0.5
7,1647897850.265866,-0.5
8,1647898510.3245811,0.5
9,1647899170.6310194,-0.5
10,1647899830.2074313,0.5
11,1647900791.4399605,0.5
12,1647901451.714169,0.5
13,1647902111.2236214,-0.5
14,1647902771.5365908,-0.5
15,1647903431.5488713,-0.5
16,1647904391.096977,-0.5
17,1647905050.8201401,-0.5
18,1647905710.6951346,-0.5
19,1647906370.696886,0.5
20,1647907030.71095,-0.5
21,1647908013.2501643,0.5
22,1647908673.007034,0.5
23,1647909332.5504022,0.5
24,1647909992.7244377,-0.5
25,1647910652.6137326,-0.5
26,1647911595.4252174,0.5
27,1647912255.5563858,0.5
28,1647912915.6204042,-0.5
29,1647913575.553361,0.5
30,1647914235.3284607,0.5
31,1647915193.0356483,-0.5
32,1647915853.2309613,0.5
33,1647916513.2841034,-0.5
34,1647917173.5779169,-0.5
35,1647917833.0903707,-0.5
36,1647918795.7498991,-0.5
37,1647919455.8835065,0.5
38,1647920115.9590726,0.5
39,1647920776.20235,-0.5
40,1647921435.9156601,-0.5
41,1647922401.9019659,0.5
42,1647923061.9521222,-0.5
43,1647923722.166523,-0.5
44,1647924382.808015,-0.5
45,1647925042.2542088,0.5
46,1647926006.5464413,-0.5
47,1647926666.9463925,0.5
48,1647927326.3607183,-0.5
49,1647927986.5009894,0.5
50,1647928646.5723586,-0.5
51,1647929606.8210552,0.5
52,1647930266.8931818,-0.5
53,1647930927.2607648,-0.5
54,1647931586.9880712,-0.5
55,1647932246.940237,0.5
56,1647933197.0077443,0.5
57,1647933857.6671083,-0.5
58,1647934517.013088,0.5
59,1647935177.6008914,-0.5
60,1647935837.299559,0.5
61,1647936797.1727993,0.5
62,1647937457.4980795,0.5
63,1647938117.3254638,0.5
64,1647938777.320692,-0.5
65,1647939437.7720442,0.5
66,1647940392.0799077,0.5
67,1647941052.3617141,0.5
68,1647941712.4513028,0.5
69,1647942372.3785138,0.5
70,1647943032.5702877,-0.5
71,1647943992.4295876,0.5
72,1647944652.4464028,0.5
73,1647945312.5588393,0.5
74,1647945972.440823,-0.5
75,1647946632.5312414,0.5
76,1647947590.9961858,-0.5
77,1647948251.0341322,0.5
78,1647948911.0550096,0.5
79,1647949571.7423127,0.5
80,1647950230.870241,0.5
81,1647951192.4521918,-0.5
82,1647951852.6523435,0.5
83,1647952512.1576772,0.5
84,1647953172.7357204,0.5
85,1647953832.5572119,0.5
86,1647954791.4430337,-0.5
87,1647955451.047322,-0.5
88,1647956110.928544,-0.5
89,1647956771.2257566,0.5
90,1647957430.7102907,-0.5
91,1647958390.2962933,-0.5
92,1647959050.481174,-0.5
93,1647959711.4941168,-0.5
94,1647960370.6669402,-0.5
95,1647961029.9984899,-0.5
96,1647961989.7753057,0.5
97,1647962649.164026,-0.5
98,1647963309.5422733,-0.5
99,1647963969.4058685,-0.5
100,1647964629.3771331,-0.5
101,1647965590.9802182,0.5
102,1647966250.7019165,0.5
103,1647966911.5813117,0.5
104,1647967570.4807537,0.5
105,1647968231.0011587,-0.5
106,1647969190.5552933,-0.5
107,1647969850.6015337,0.5
108,1647970510.415482,-0.5
109,1647971171.2325757,-0.5
110,1647971830.2666059,-0.5
111,1647972792.4160097,0.5
112,1647973457.4146338,-0.5
113,1647974118.6220002,-0.5
114,1647974770.790453,-0.5
115,1647975429.8841264,-0.5
116,1647976390.3554654,0.5
117,1647977050.0339534,-0.5
118,1647977710.5906253,-0.5
119,1647978369.9814975,-0.5
120,1647979030.0778859,0.5
121,1647979990.6485586,0.5
122,1647980650.7399774,-0.5
123,1647981310.7022924,0.5
124,1647981970.5323055,-0.5
125,1647982630.6478086,-0.5
126,1647983589.5526123,0.5
127,1647984249.5583088,0.5
128,1647984909.4879932,-0.5
129,1647985569.689762,0.5
130,1647986229.5507197,0.5
131,1647987191.693844,-0.5
132,1647987851.6749816,0.5
