,time,value
0,1648698652.5497985,40.6
1,1648698952.6951063,40.56
2,1648699552.5810654,39.92
3,1648699852.999749,48.49
4,1648700152.529289,40.07
5,1648700452.4146183,40.88
6,1648700452.5571938,40.67
7,1648700753.1028457,39.89
8,1648701053.3474133,40.08
9,1648701352.6878293,40.07
10,1648701653.5594354,39.97
11,1648701953.1614432,39.15
12,1648702252.7283573,39.13
13,1648702553.878518,39.13
14,1648702853.7804334,39.91
15,1648703153.337827,40.11
16,1648703452.5753052,41.82
17,1648703753.0692265,33.47
18,1648704052.9935672,33.17
19,1648704352.8366952,29.05
20,1648704652.874805,29.05
21,1648704953.1618416,29.05
22,1648705252.7677546,41.85
23,1648705553.0590212,40.83
24,1648705852.8709397,38.44
25,1648706152.852492,37.67
26,1648706452.9145887,41.63
27,1648706752.7925327,59.3
28,1648707053.2850797,47.47
29,1648707353.0829327,42.78
30,1648707652.6504478,42.86
31,1648707952.37708,42.79
32,1648708253.1992786,33.23
33,1648708552.8211632,38.16
34,1648708852.6892133,40.54
35,1648709152.7559056,34.01
36,1648709452.86186,40.02
37,1648709752.835145,34.17
38,1648710053.6081798,39.45
39,1648710353.7104492,39.19
40,1648710652.8941689,39.49
41,1648710953.266621,39.46
42,1648711252.7606997,39.19
43,1648711553.1698565,39.46
44,1648711852.6854446,39.18
45,1648712153.2811563,39.45
46,1648712452.8666527,39.45
47,1648712752.8610306,39.04
48,1648713053.2858605,39.05
49,1648713352.5110645,39.06
50,1648713652.7466512,41.01
51,1648713952.7970805,53.23
52,1648714253.0018957,41.14
53,1648714552.8700001,45.58
54,1648714853.9650688,39.48
55,1648715152.5892253,39.45
56,1648715452.8254704,41.11
57,1648715752.7925324,39.46
58,1648716052.519362,39.44
59,1648716353.0300152,39.44
60,1648716652.7934365,39.52
61,1648716952.5651793,39.48
62,1648717252.8538606,33.26
63,1648717553.0531418,50.81
64,1648717854.1165738,39.01
65,1648718154.2548208,39.04
66,1648718453.723563,34.06
67,1648718753.36257,34.05
68,1648719052.6932788,39.56
69,1648719352.9439008,53.63
70,1648719652.8009236,45.15
71,1648719953.0728292,41.14
72,1648720252.6570942,34.12
73,1648720552.9057713,39.11
74,1648720852.5886185,39.76
75,1648721152.3157144,39.53
76,1648721453.3772004,40.1
77,1648721752.6877313,41.95
78,1648722052.7060525,45.81
79,1648722352.9909952,44.58
80,1648722652.8695612,45.06
81,1648722952.6378467,45.82
82,1648723252.6817808,46.61
83,1648723552.5764124,42.2
84,1648723852.5432417,42.05
85,1648724152.8087006,42.19
86,1648724453.596665,96.46
87,1648724752.7266483,123.21
88,1648725052.761051,127.65
89,1648725352.5696511,89.19
90,1648725652.9548905,96.57
91,1648725953.890759,96.59
92,1648726253.9759383,108.16
93,1648726553.2503426,108.16
94,1648726852.8095016,108.2
95,1648727152.6644967,183.72
96,1648727452.7828665,96.32
97,1648727753.262425,96.26
98,1648728053.699718,89.13
99,1648728352.58513,89.08
100,1648728652.769816,95.94
101,1648728952.7879016,96.25
102,1648729252.8359363,96.25
103,1648729552.750115,96.45
104,1648729853.4513063,89.1
105,1648730152.8389966,89.08
106,1648730452.7315855,89.09
107,1648730752.898269,89.1
108,1648731052.873491,89.13
109,1648731352.7537088,89.1
110,1648731652.8044293,96.21
111,1648731952.9424915,96.26
112,1648732252.6419032,95.91
113,1648732552.347837,42.86
114,1648732853.0230393,42.64
115,1648733154.8418143,43.23
116,1648733453.0045867,43.17
117,1648733752.842159,42.84
118,1648734052.6567833,43.35
119,1648734353.2980773,43.0
120,1648734652.593617,43.96
121,1648734954.6143668,43.96
122,1648735253.4449832,50.82
123,1648735553.0333848,48.25
124,1648735855.0876496,44.0
125,1648736152.709513,60.77
126,1648736452.9820209,82.01
127,1648736752.714382,81.79
128,1648737052.6130407,82.02
129,1648737352.7343354,82.07
130,1648737652.6706066,179.89
131,1648737953.0001674,83.07
132,1648738252.8748658,82.99
133,1648738553.7212403,82.08
134,1648738853.7799056,82.06
135,1648739152.7262533,82.03
136,1648739452.977757,82.03
137,1648739753.005093,82.03
138,1648740052.5155375,79.23
139,1648740352.9144654,79.23
140,1648740652.7087326,79.23
141,1648740953.084323,62.18
142,1648741252.7224796,79.23
143,1648741552.7802472,81.74
144,1648741852.657367,81.73
145,1648742154.1184938,81.66
146,1648742454.3079073,68.37
147,1648742752.996656,61.43
148,1648743052.610371,61.45
149,1648743352.9039652,61.43
150,1648743652.6510017,61.42
151,1648743953.4205234,60.42
152,1648744252.7326546,60.43
153,1648744552.8111851,60.42
154,1648744852.9765615,60.41
155,1648745152.7021377,59.59
156,1648745452.66297,81.68
157,1648745753.155663,81.68
158,1648746052.8800156,81.68
159,1648746353.0327206,68.36
160,1648746653.048929,68.34
161,1648746952.7503364,68.35
162,1648747252.7603495,68.35
163,1648747552.696847,68.36
164,1648747853.1828296,68.36
165,1648748152.4902353,81.68
166,1648748452.857745,81.68
167,1648748753.758197,81.68
168,1648749052.5553124,81.66
169,1648749352.5985472,81.7
170,1648749653.1041439,81.66
171,1648749953.375656,81.71
172,1648750252.931166,81.68
173,1648750553.1945953,68.36
174,1648750852.8071463,68.35
175,1648751154.4370537,68.35
176,1648751452.7952914,68.35
177,1648751752.9653027,81.67
178,1648752052.3642006,81.68
179,1648752352.7650301,81.69
180,1648752654.4217188,170.66
181,1648752952.880466,179.86
182,1648753253.0264845,179.86
183,1648753552.9104195,179.87
184,1648753852.6770992,81.71
185,1648754153.030486,81.67
186,1648754453.7319312,79.23
187,1648754753.1684678,79.23
188,1648755053.1131115,68.34
189,1648755352.9306037,79.23
190,1648755652.5250757,79.23
191,1648755952.939398,68.37
192,1648756254.6996605,68.36
193,1648756554.3335774,68.37
194,1648756852.8961163,68.35
195,1648757152.8561218,112.1
196,1648757452.826814,112.1
197,1648757752.7967436,216.26
198,1648758053.0409396,216.27
199,1648758353.0934072,216.27
200,1648758652.781783,140.98
201,1648758952.7018964,172.46
202,1648759252.9726858,175.76
203,1648759562.688575,216.26
204,1648759853.4185824,216.28
205,1648760153.0988245,121.32
206,1648760452.6886723,135.66
207,1648760752.7857254,135.67
208,1648761053.0739825,135.67
209,1648761355.0200372,130.87
210,1648761652.8240192,104.4
211,1648761953.2170982,130.86
212,1648762252.8828657,130.86
213,1648762552.708332,135.66
214,1648762852.4832745,135.68
215,1648763152.9109359,135.66
216,1648763452.868237,135.67
217,1648763752.567955,135.67
218,1648764054.843787,136.07
219,1648764353.2104418,136.0
220,1648764652.5321388,136.02
221,1648764953.2246027,154.16
222,1648765252.7017763,179.82
223,1648765552.726078,179.84
224,1648765852.59592,149.15
225,1648766152.855195,149.15
226,1648766453.0370877,149.14
227,1648766752.4861002,411.91
228,1648767052.761938,408.87
229,1648767352.9229438,154.16
230,1648767652.616752,60.01
231,1648767952.8035533,53.94
232,1648768252.8697948,60.0
233,1648768552.6428962,59.98
234,1648768852.618814,51.74
235,1648769152.321631,47.62
236,1648769453.293915,47.63
237,1648769753.2337027,43.01
238,1648770053.2199662,44.55
239,1648770352.866493,45.73
240,1648770652.900312,46.88
241,1648770954.1171005,377.56
242,1648771254.6765635,507.16
243,1648771552.55342,396.2
244,1648771854.7270446,400.73
245,1648772152.98451,87.84
246,1648772452.8115418,87.85
247,1648772752.7870367,87.85
248,1648773052.9560742,149.3
249,1648773352.6083887,85.9
250,1648773652.5766284,62.38
251,1648773952.6887686,85.84
252,1648774252.9658494,85.78
253,1648774552.6026592,85.76
254,1648774852.5963843,217.61
255,1648775153.1084578,217.61
256,1648775452.8335006,217.57
257,1648775752.9187255,216.59
258,1648776052.3668494,216.57
259,1648776353.1507564,216.37
260,1648776653.9781897,85.92
261,1648776953.066609,85.93
262,1648777252.9234226,85.93
263,1648777552.7118046,85.93
264,1648777852.528028,85.93
265,1648778152.6294456,85.91
266,1648778452.6624982,79.25
267,1648778752.4753242,73.5
268,1648779052.9310606,73.48
269,1648779354.5508604,73.5
270,1648779653.5220227,73.33
271,1648779952.3970618,73.33
272,1648780253.098392,40.81
273,1648780552.7184536,42.29
274,1648780853.0358694,42.69
275,1648781152.6015124,42.29
276,1648781452.6597345,39.87
277,1648781752.6855478,39.88
278,1648782053.123508,41.14
279,1648782352.5245583,39.31
280,1648782652.6514018,41.66
281,1648782952.6394203,38.66
282,1648783252.8995183,38.66
283,1648783553.226918,38.71
284,1648783852.6680892,38.66
285,1648784154.2832332,38.42
286,1648784452.8309808,38.64
287,1648784752.7052221,38.63
288,1648785052.8205314,38.66
289,1648785352.7163553,37.48
290,1648785952.5185266,44.51
291,1648786252.899852,44.99
292,1648786552.3111417,42.38
293,1648786852.8070436,41.42
294,1648786852.9401937,41.31
295,1648787152.7641711,40.51
296,1648787452.7324665,40.28
297,1648787752.6718717,40.32
298,1648788052.570771,40.22
299,1648788353.3251324,40.22
300,1648788653.0281403,39.32
301,1648788953.1521204,39.3
302,1648789253.0582683,40.25
303,1648789553.2193093,41.01
304,1648789852.965912,40.14
305,1648790152.9009602,40.22
306,1648790453.139279,39.63
307,1648790752.8585098,39.43
308,1648791053.8910217,39.73
309,1648791352.9940436,39.53
310,1648791653.1183152,39.56
311,1648791953.063041,39.74
312,1648792252.76508,39.47
313,1648792552.9207158,39.4
314,1648792854.0552335,39.43
315,1648793152.7062004,39.36
316,1648793452.9365382,39.32
317,1648793752.8355675,37.11
318,1648794053.8056922,36.25
319,1648794353.428621,33.28
320,1648794653.6433227,38.52
321,1648794952.7363105,37.11
322,1648795252.5500205,39.03
323,1648795552.9325113,33.58
324,1648795852.682227,33.96
325,1648796152.6131456,33.96
326,1648796452.5312583,39.51
327,1648796752.9854097,39.58
328,1648797052.8880694,39.62
329,1648797352.564736,39.62
330,1648797653.0501258,39.52
331,1648797952.8594255,39.55
332,1648798253.589395,39.53
333,1648798552.7265918,39.56
334,1648798852.6784804,39.68
335,1648799153.264914,39.87
336,1648799453.0164685,39.82
337,1648799752.6135838,39.75
338,1648800053.615627,39.85
339,1648800352.993313,40.01
340,1648800653.0277212,39.69
341,1648800952.8673203,40.01
342,1648801252.7949524,40.07
343,1648801554.1883748,39.97
344,1648801853.826891,40.17
345,1648802153.28106,40.29
346,1648802453.262089,40.29
347,1648802752.8507683,40.46
348,1648803063.1047225,40.53
349,1648803352.548475,40.57
350,1648803652.761228,40.27
351,1648803952.403132,39.95
352,1648804253.0924335,40.03
353,1648804553.1300204,40.38
354,1648804852.9104807,41.48
355,1648805152.6985579,41.51
356,1648805452.8511803,42.11
357,1648805752.9633873,73.72
358,1648806052.8222396,73.74
359,1648806352.857474,73.78
360,1648806652.7168243,73.94
361,1648806952.6164455,73.81
362,1648807252.5776966,73.63
363,1648807553.0387485,73.15
364,1648807853.2495065,73.19
365,1648808153.1730056,73.28
366,1648808453.059355,73.56
367,1648808752.6569536,73.58
368,1648809052.8340218,73.57
369,1648809352.9025724,73.98
370,1648809652.9060574,73.66
371,1648809952.9110386,73.89
372,1648810252.9573786,73.72
373,1648810553.915157,73.71
374,1648810854.015102,41.03
375,1648811153.3255322,44.12
376,1648811452.573101,43.0
377,1648811752.8100522,44.49
378,1648812052.611216,53.59
379,1648812352.5941017,53.76
380,1648812653.2798028,57.73
381,1648812952.6890683,54.82
382,1648813253.2793517,56.32
383,1648813553.515232,54.08
384,1648813852.8061996,55.02
385,1648814152.4420295,50.14
386,1648814452.5070484,57.74
387,1648814752.9970794,57.03
388,1648815052.7370465,57.03
389,1648815352.8232214,57.78
390,1648815652.9631536,57.19
391,1648815952.3301325,56.97
392,1648816253.6010935,56.91
393,1648816553.015328,56.92
394,1648816852.352012,66.63
395,1648817153.38732,75.55
396,1648817452.395331,74.1
397,1648817752.7857668,73.05
398,1648818053.5987666,74.18
399,1648818352.9976795,74.25
400,1648818652.9164577,90.59
401,1648818954.2491152,72.14
402,1648819252.9734209,71.74
403,1648819552.9751046,72.38
404,1648819852.6380043,72.51
405,1648820152.7246294,72.51
406,1648820452.9579327,72.31
407,1648820752.9894664,63.92
408,1648821053.0376506,56.83
409,1648821352.6359646,56.33
410,1648821652.696621,62.28
411,1648821952.5954218,63.85
412,1648822252.9387438,62.65
413,1648822553.4174716,62.11
414,1648822852.8771005,61.24
415,1648823152.773961,60.89
416,1648823452.9143713,60.23
417,1648823752.7116027,60.23
418,1648824053.730754,60.23
419,1648824352.6074183,59.15
420,1648824653.2892263,82.0
421,1648824952.725344,82.1
422,1648825253.7666137,309.31
423,1648825552.9616694,379.7
424,1648825855.121998,344.17
425,1648826153.4539807,410.2
426,1648826452.6190634,410.6
427,1648826752.9577723,117.3
428,1648827052.8783233,117.3
429,1648827353.3155391,82.28
430,1648827652.7985296,81.47
431,1648827953.196203,81.38
432,1648828252.8573644,80.29
433,1648828552.4137268,81.32
434,1648828852.510804,49.4
435,1648829152.8832934,48.03
436,1648829453.2964747,49.49
437,1648829752.7503405,64.98
438,1648830052.9856412,63.22
439,1648830352.483071,49.92
440,1648830653.2066963,63.12
441,1648830952.873829,80.79
442,1648831252.944087,66.33
443,1648831552.5306273,63.75
444,1648831853.1156683,63.09
445,1648832152.7244124,63.07
446,1648832452.8501346,59.87
447,1648832752.9874454,62.65
448,1648833052.8636234,62.68
449,1648833353.043999,62.59
450,1648833652.8013632,60.88
451,1648833952.7892463,59.12
452,1648834252.8585186,57.46
453,1648834555.4323368,63.84
454,1648834853.9120407,66.88
455,1648835152.5515664,68.79
456,1648835452.9849482,65.25
457,1648835752.8359363,62.84
458,1648836052.5374331,69.85
459,1648836352.9960012,257.23
460,1648836653.0218267,81.92
461,1648836952.7659774,81.95
462,1648837253.065156,81.92
463,1648837552.5321796,70.0
464,1648837852.8323648,69.95
465,1648838152.6402144,50.27
466,1648838453.0290408,50.22
467,1648838752.8409784,50.41
468,1648839052.9797688,50.85
469,1648839352.886243,50.63
470,1648839652.8886583,50.27
471,1648839953.0925255,50.18
472,1648840253.2352054,50.13
473,1648840552.5174232,50.27
474,1648840852.8391845,50.23
475,1648841152.6370459,50.27
476,1648841453.0610662,50.42
477,1648841753.1193135,82.02
478,1648842053.0704198,82.07
479,1648842352.37478,82.07
480,1648842652.59086,109.53
481,1648842952.7639313,121.85
482,1648843252.9950635,185.27
483,1648843554.6833773,844.48
484,1648843853.6169047,1238.62
485,1648844152.3585563,1106.85
486,1648844452.6830773,211.74
487,1648844753.0852864,284.94
488,1648845053.0370896,134.42
489,1648845352.8576763,138.85
490,1648845653.1256213,138.81
491,1648845952.8284323,121.57
492,1648846253.127217,131.48
493,1648846552.4216142,121.53
494,1648846852.9816425,136.42
495,1648847152.6731505,58.28
496,1648847452.7692945,60.02
497,1648847752.9010763,56.92
498,1648848052.9974523,50.15
499,1648848352.97709,91.45
500,1648848652.6534529,91.42
501,1648848952.9406598,91.42
502,1648849252.6262665,125.31
503,1648849552.6002843,136.47
504,1648849852.9760149,136.52
505,1648850152.4474072,89.5
506,1648850453.2571638,89.57
507,1648850752.9450612,89.58
508,1648851052.5689898,89.57
509,1648851353.2799952,89.6
510,1648851652.8784332,89.57
511,1648851953.2675521,89.57
512,1648852253.563862,89.77
513,1648852554.2852185,89.56
514,1648852852.8372324,89.57
515,1648853152.6257792,287.7
516,1648853452.8022995,287.69
517,1648853753.0399764,89.73
518,1648854053.5681946,86.44
519,1648854352.5837512,89.45
520,1648854652.5205226,89.71
521,1648854954.065029,111.9
522,1648855252.6424096,111.9
523,1648855552.4610634,111.93
524,1648855853.085284,91.42
525,1648856152.7289479,94.31
526,1648856452.461792,94.29
527,1648856752.7498019,94.22
528,1648857052.3353443,94.22
529,1648857352.4689996,94.22
530,1648857653.001261,141.34
531,1648857953.6341913,94.25
532,1648858252.6593509,94.25
533,1648858552.8103502,94.45
534,1648858852.9856193,94.33
535,1648859152.6712048,94.37
536,1648859452.8251529,491.33
537,1648859752.9382105,123.67
538,1648860052.6761203,127.97
539,1648860353.0734754,89.67
540,1648860654.3324897,89.63
541,1648860953.6207094,89.63
542,1648861252.8727155,89.66
543,1648861552.8055427,89.68
544,1648861852.8625872,89.66
545,1648862152.674386,89.64
546,1648862452.6354587,89.64
547,1648862752.8957183,89.64
548,1648863052.825334,211.56
549,1648863352.7740252,151.61
550,1648863652.7724144,151.61
551,1648863952.4385166,151.61
552,1648864253.0928373,86.47
553,1648864552.636193,211.57
554,1648864852.5565856,86.5
555,1648865152.9239936,77.04
556,1648865452.992496,77.09
557,1648865752.523169,77.13
558,1648866052.8820388,77.22
559,1648866352.6147563,77.07
560,1648866652.8711367,77.1
561,1648866952.3625824,45.65
562,1648867252.424839,76.61
563,1648867552.4506416,76.96
564,1648867854.6635637,76.99
565,1648868152.8329787,77.12
566,1648868452.7862334,48.51
567,1648868752.5735373,77.05
568,1648869052.553152,76.68
569,1648869352.5481806,76.92
570,1648869652.6355107,76.94
571,1648869952.5998669,76.89
572,1648870252.6649582,76.91
573,1648870552.871739,76.94
574,1648870852.383168,76.93
575,1648871152.7545242,76.91
576,1648871452.3826346,48.2
577,1648871752.5665917,49.99
578,1648872352.522163,76.86
579,1648872652.6888173,76.76
580,1648872952.4965377,76.74
581,1648873252.9748669,76.84
582,1648873552.7677617,76.84
583,1648873553.0040941,76.74
584,1648873852.7305272,76.64
585,1648874152.7704885,49.01
586,1648874452.9001408,48.02
587,1648874752.980295,48.02
588,1648875052.8234713,48.37
589,1648875352.8341906,48.3
590,1648875653.8566878,47.39
591,1648875953.6264246,76.74
592,1648876253.1487663,76.74
593,1648876553.254612,76.73
594,1648876852.6931052,69.98
595,1648877153.0186496,47.39
596,1648877452.6737633,47.02
597,1648877753.510895,46.06
598,1648878053.0142395,47.02
599,1648878352.4303803,47.02
600,1648878653.1904397,46.3
601,1648878953.1138887,47.3
602,1648879253.4430466,46.32
603,1648879552.4551618,47.34
604,1648879853.4580276,44.01
605,1648880152.8301845,46.35
606,1648880452.7656353,47.34
607,1648880752.7846897,47.34
608,1648881052.8180304,46.33
609,1648881353.1769297,42.84
610,1648881652.7514405,44.52
611,1648881952.9339867,46.96
612,1648882252.910986,49.23
613,1648882552.6642814,48.41
614,1648882852.9254947,54.03
615,1648883153.5962713,58.55
616,1648883453.053335,58.27
617,1648883753.1182916,57.78
618,1648884052.7666008,53.72
619,1648884352.7868555,56.35
620,1648884653.082482,56.35
621,1648884952.8985176,56.35
622,1648885252.9561682,56.35
623,1648885553.012426,53.87
624,1648885852.7504056,53.72
625,1648886152.511938,53.82
626,1648886452.6524117,49.22
627,1648886752.9394033,49.22
628,1648887053.1586072,49.22
629,1648887352.8604436,49.31
630,1648887652.8650932,50.15
631,1648887953.0092993,50.15
632,1648888252.6739984,50.15
633,1648888552.4923909,50.11
634,1648888852.65207,53.23
635,1648889152.644987,53.25
636,1648889452.7188401,76.97
637,1648889752.6187966,76.99
638,1648890053.1413205,48.57
639,1648890352.7960317,48.01
640,1648890652.660227,48.01
641,1648890952.7795868,44.38
642,1648891254.2626333,43.97
643,1648891553.2363584,42.24
644,1648891852.8990428,47.0
645,1648892152.5453467,47.0
646,1648892452.9282248,76.93
647,1648892752.9507,76.98
648,1648893052.8766928,76.98
649,1648893352.5186958,76.99
650,1648893652.7690892,42.85
651,1648893953.0720718,43.39
652,1648894252.683895,43.89
653,1648894553.0381572,45.11
654,1648894852.6836214,46.95
655,1648895152.9729614,47.0
656,1648895453.2036562,76.98
657,1648895752.6581101,76.94
658,1648896052.8037376,49.55
659,1648896353.0226755,49.35
660,1648896652.8822672,52.74
661,1648896954.914213,77.02
662,1648897252.3422651,43.94
