,time,value
0,1648596653.339203,6054.666
1,1648596952.946058,6094.424
2,1648597252.617721,6098.71
3,1648597553.2819104,6081.3193
4,1648597852.7176526,6146.671
5,1648598154.6005826,6085.311
6,1648598454.7983332,6134.1357
7,1648598753.3585188,6118.6616
8,1648599052.941521,6122.554
9,1648599353.6012156,6117.749
10,1648599654.0650988,6135.918
11,1648599953.3965504,6088.373
12,1648600253.1566415,6094.201
13,1648600552.9537783,6076.911
14,1648600853.2072542,6053.77
15,1648601153.1493423,6056.4727
16,1648601453.1040654,6042.2046
17,1648601752.9676,6041.546
18,1648602052.7797003,6022.367
19,1648602353.2236528,6015.659
20,1648602653.1570554,6003.3184
21,1648602953.1492407,5967.1504
22,1648603253.2606816,5928.3496
23,1648603553.1174538,5904.501
24,1648603853.534144,5910.129
25,1648604153.3370528,5895.4873
26,1648604453.6262414,5861.829
27,1648604752.8603067,5848.3467
28,1648605052.9470136,5816.544
29,1648605353.0264595,5816.014
30,1648605653.2350707,5803.6084
31,1648605953.182637,5757.046
32,1648606252.7897787,5735.595
33,1648606553.0784318,5706.8335
34,1648606854.8920045,5719.1367
35,1648607154.4853573,5623.5415
36,1648607453.4085643,5626.3623
37,1648607753.9198658,5596.885
38,1648608053.1003945,5561.713
39,1648608353.0809145,5545.2666
40,1648608653.0159311,5492.42
41,1648608953.0787594,5480.134
42,1648609252.8601718,5443.3936
43,1648609553.4338636,5435.372
44,1648609853.2431996,5387.7754
45,1648610152.953421,5378.7007
46,1648610452.8666646,5296.662
47,1648610752.8896945,5273.6177
48,1648611053.261553,5273.484
49,1648611353.3880105,5226.6895
50,1648611652.8283198,5208.538
51,1648611952.9704778,5174.949
52,1648612253.8012748,5190.239
53,1648612554.9477596,5141.879
54,1648614053.1119525,5012.4424
55,1648614352.4951,5012.4424
56,1648614352.7174282,4972.9004
57,1648614652.9944386,4940.7207
58,1648614953.8669324,4925.328
59,1648615253.3350532,4928.658
60,1648615553.0361888,4928.658
61,1648615853.181231,4892.1934
62,1648616152.8348236,4867.8926
63,1648616453.4938014,4856.0957
64,1648616752.9563634,4823.179
65,1648617052.9026747,4804.8394
66,1648617355.7509806,4791.991
67,1648617652.8266852,4756.441
68,1648617952.8210726,4772.1914
69,1648618253.0053113,4725.2324
