,time,value
0,1672231415.1996357,1.0
1,1672231714.8567848,1.0
2,1672232014.7742276,1.0
3,1672232315.242796,1.0
4,1672232615.3634133,1.0
5,1672232914.806745,1.0
6,1672233214.3419988,1.0
7,1672233514.8873293,1.0
8,1672233815.126459,1.0
9,1672234114.682584,1.0
10,1672234415.0047617,1.0
11,1672234722.2329516,1.0
12,1672235014.9094622,1.0
13,1672235315.2245667,1.0
14,1672235614.6582518,1.0
15,1672235915.1753945,1.0
16,1672236215.4359016,1.0
17,1672236514.9098108,1.0
18,1672236815.194759,1.0
19,1672237115.2429454,1.0
20,1672237415.061798,1.0
21,1672237715.4121542,1.0
22,1672238014.9311988,1.0
23,1672238315.2197824,1.0
24,1672238614.7675762,1.0
25,1672238915.4499102,1.0
26,1672239214.3181207,1.0
27,1672239515.3798487,1.0
28,1672239815.3877313,1.0
29,1672240114.931792,1.0
30,1672240415.1123538,1.0
31,1672240717.5645103,1.0
32,1672241015.0915701,1.0
33,1672241314.9783075,1.0
34,1672241616.1341994,1.0
35,1672241915.162118,1.0
36,1672242214.834111,1.0
37,1672242515.724284,1.0
38,1672242815.1609738,1.0
39,1672243116.007616,1.0
40,1672243415.2056446,1.0
41,1672243714.800525,1.0
42,1672244015.4347966,1.0
43,1672244316.164816,1.0
44,1672244614.8521616,1.0
45,1672244915.8752859,1.0
46,1672245215.4350777,1.0
47,1672245515.473395,1.0
48,1672245815.047418,1.0
49,1672246114.6983008,1.0
50,1672246414.8218236,1.0
51,1672246715.4925373,1.0
52,1672247014.9867487,1.0
53,1672247315.263594,1.0
54,1672247616.8849897,1.0
55,1672247915.408774,1.0
56,1672248214.7918823,1.0
57,1672248517.0745041,1.0
58,1672248815.1995583,1.0
59,1672249114.9045045,1.0
60,1672249415.6040087,1.0
61,1672249715.0107667,1.0
62,1672250014.8596585,1.0
63,1672250315.7225173,1.0
64,1672250615.1490197,1.0
65,1672250914.925104,1.0
66,1672251214.4695618,1.0
67,1672251514.4965315,1.0
68,1672251814.9314725,1.0
69,1672252115.4781668,1.0
70,1672252415.557991,1.0
71,1672252715.3795428,1.0
72,1672253014.9205587,1.0
73,1672253314.722742,1.0
74,1672253615.2470272,1.0
75,1672253914.670884,1.0
76,1672254215.2120574,1.0
77,1672254514.6171188,1.0
78,1672254815.1361833,1.0
79,1672255114.6360023,1.0
80,1672255415.1178849,1.0
81,1672255715.5660179,1.0
82,1672256015.3659117,1.0
83,1672256315.1111155,1.0
84,1672256614.489497,1.0
85,1672256914.4116142,1.0
86,1672257214.732505,1.0
87,1672257514.85391,1.0
88,1672257814.344639,1.0
89,1672258116.1190698,1.0
90,1672258415.1065476,1.0
91,1672258714.3094018,1.0
92,1672259014.7940233,1.0
93,1672259315.3385727,1.0
94,1672259616.3955703,1.0
95,1672259914.4332967,1.0
96,1672260214.359042,1.0
97,1672260515.0169566,1.0
98,1672260815.422659,1.0
99,1672261114.8914952,1.0
100,1672261414.3293157,1.0
101,1672261714.6075425,1.0
102,1672262015.3915844,1.0
103,1672262315.292429,1.0
104,1672262614.3728724,1.0
105,1672262915.5779543,1.0
106,1672263215.0995533,1.0
107,1672263515.2406194,1.0
108,1672263815.1267703,1.0
109,1672264115.0841498,1.0
110,1672264415.527176,1.0
111,1672264714.6373644,1.0
112,1672265015.252657,1.0
113,1672265315.474884,1.0
114,1672265615.035176,1.0
115,1672265915.2606883,1.0
116,1672266214.8297927,1.0
117,1672266515.479649,1.0
118,1672266815.37985,1.0
119,1672267114.9233034,1.0
120,1672267415.1974053,1.0
121,1672267715.4078548,1.0
122,1672268015.3749118,1.0
123,1672268315.0588188,1.0
124,1672268615.737165,1.0
125,1672268915.1019704,1.0
126,1672269215.9117105,1.0
127,1672269515.3896785,1.0
128,1672269815.815699,1.0
129,1672270114.757171,1.0
130,1672270414.798386,1.0
131,1672270715.1847699,1.0
132,1672271015.5245135,1.0
133,1672271315.504799,1.0
134,1672271615.3588135,1.0
135,1672271915.9113338,1.0
136,1672272215.6782618,1.0
137,1672272515.5826073,1.0
138,1672272815.2012956,1.0
139,1672273115.0013325,1.0
140,1672273416.3888216,1.0
141,1672273716.367901,1.0
142,1672274015.3921833,1.0
143,1672274315.330651,1.0
144,1672274615.1693923,1.0
145,1672274914.691969,1.0
146,1672275215.7981734,1.0
147,1672275515.4163024,1.0
148,1672275814.5779624,1.0
149,1672276115.1094828,1.0
150,1672276414.9146492,1.0
151,1672276715.0460262,1.0
152,1672277014.648271,1.0
153,1672277314.7455454,1.0
154,1672277615.1117156,1.0
155,1672277915.9337497,1.0
156,1672278214.7510045,1.0
157,1672278515.1746905,1.0
158,1672278816.756109,1.0
159,1672279115.2367146,1.0
160,1672279415.066249,1.0
161,1672279715.1877537,1.0
162,1672280015.2308197,1.0
163,1672280314.5634122,1.0
164,1672280615.2317355,1.0
165,1672280915.1473348,1.0
166,1672281214.8628879,1.0
167,1672281514.8582754,1.0
168,1672281815.047554,1.0
169,1672282114.89422,1.0
170,1672282414.70492,1.0
171,1672282715.4276848,1.0
172,1672283014.8326535,1.0
173,1672283315.477932,1.0
174,1672283614.5761302,1.0
175,1672283915.4018705,1.0
176,1672284214.9020936,1.0
177,1672284514.863151,1.0
178,1672284815.399629,1.0
179,1672285115.0057695,1.0
180,1672285415.3734663,1.0
181,1672285714.9027634,1.0
182,1672286015.51181,1.0
183,1672286315.2758374,1.0
184,1672286615.263655,1.0
185,1672286915.1910715,1.0
186,1672287215.017715,1.0
187,1672287515.5699654,1.0
188,1672287814.5903697,1.0
189,1672288115.4630966,1.0
190,1672288414.7472003,1.0
191,1672288715.4571402,1.0
192,1672289015.3036952,1.0
193,1672289314.470834,1.0
194,1672289615.1364894,1.0
195,1672289914.9715726,1.0
196,1672290215.2137718,1.0
197,1672290515.5132034,1.0
198,1672290815.1991775,1.0
199,1672291115.2368488,1.0
200,1672291415.0811315,1.0
201,1672291715.128664,1.0
202,1672292015.0271363,1.0
203,1672292315.231945,1.0
204,1672292615.110351,1.0
205,1672292914.8793433,1.0
206,1672293216.3782458,1.0
207,1672293514.77389,1.0
208,1672293814.3351722,1.0
209,1672294114.85652,1.0
210,1672294414.9378855,1.0
211,1672294715.5173938,1.0
212,1672295015.3255146,1.0
213,1672295315.405077,1.0
214,1672295615.0249193,1.0
215,1672295915.2040331,1.0
216,1672296214.4240482,1.0
217,1672296515.3487322,1.0
218,1672296814.9491277,1.0
219,1672297114.709615,1.0
220,1672297414.6147835,1.0
221,1672297715.2539206,1.0
222,1672298014.956245,1.0
223,1672298314.8768048,1.0
224,1672298614.9744506,1.0
225,1672298914.6653023,1.0
226,1672299214.9477775,1.0
227,1672299514.4776435,1.0
228,1672299814.8803377,1.0
229,1672300115.6513717,1.0
230,1672300414.9776423,1.0
231,1672300715.6374364,1.0
232,1672301014.3135736,1.0
233,1672301315.3925056,1.0
234,1672301614.796169,1.0
235,1672301914.2356172,1.0
236,1672302215.1562345,1.0
237,1672302514.7343342,1.0
238,1672302814.9593346,1.0
239,1672303115.036081,1.0
240,1672303415.2043614,1.0
241,1672303715.6152837,1.0
242,1672304014.777005,1.0
243,1672304314.498218,1.0
244,1672304614.561231,1.0
245,1672304915.058266,1.0
246,1672305215.2213442,1.0
247,1672305515.0981874,1.0
248,1672305815.7991078,1.0
249,1672306115.143097,1.0
