,time,value
0,1648779215.5204012,5.0
1,1648779515.1846023,10.0
2,1648779816.6893213,0.0
3,1648780117.1279626,-5.0
4,1648780414.6148255,-15.0
5,1648780714.6361318,5.0
6,1648781015.836179,30.0
7,1648781315.2912297,-5.0
8,1648781615.814247,50.0
9,1648781914.5496073,-35.0
10,1648782514.37281,5.0
11,1648782815.0089204,30.0
12,1648783115.9041438,-15.0
13,1648783414.8506262,20.0
14,1648783715.258305,-10.0
15,1648784015.7964237,-10.0
16,1648784314.8696175,10.0
17,1648784615.8938649,-20.0
18,1648784917.5453415,-10.0
19,1648785216.080396,-20.0
20,1648785515.127149,0.0
21,1648785816.7498515,10.0
22,1648786115.3161614,10.0
23,1648786415.2250762,-10.0
24,1648786715.2269275,10.0
25,1648787014.8519745,10.0
26,1648787314.5102327,5.0
27,1648787616.3161485,-5.0
28,1648788214.734351,0.0
29,1648788516.0793948,-25.0
30,1648788814.2515798,-25.0
31,1648789114.9379163,10.0
32,1648789421.478474,-40.0
33,1648789715.6994867,15.0
34,1648790014.3421524,15.0
35,1648790314.9829407,15.0
36,1648790615.482107,-10.0
37,1648790914.7796366,0.0
38,1648791216.3620663,-15.0
39,1648791514.3275123,0.0
40,1648791815.2478542,-10.0
41,1648792115.5632138,-20.0
42,1648792415.7291183,-10.0
43,1648792715.7192643,25.0
44,1648793015.414893,-20.0
45,1648793315.7768097,10.0
46,1648793615.4355605,-15.0
47,1648793915.7200017,-25.0
48,1648794214.8828247,15.0
49,1648794515.3984554,5.0
50,1648794815.124951,25.0
51,1648795115.2809737,10.0
52,1648795415.1571932,5.0
53,1648795715.4612074,-10.0
54,1648796015.2171066,-15.0
55,1648796316.2833579,10.0
56,1648796615.6825006,10.0
57,1648796915.0294518,10.0
58,1648797215.0107384,-25.0
59,1648797515.6320572,-10.0
60,1648797814.8725252,10.0
61,1648798114.7770414,35.0
62,1648798414.5231764,25.0
63,1648798717.1579268,-20.0
64,1648799014.7730129,0.0
65,1648799315.2898626,-10.0
66,1648799614.9556954,-5.0
67,1648799915.7597537,15.0
68,1648800214.8236535,25.0
69,1648800514.6000233,-5.0
70,1648800814.7284052,10.0
71,1648801114.7776957,-10.0
72,1648801414.853553,0.0
73,1648801714.9796944,-5.0
74,1648802016.0219243,-10.0
75,1648802314.9523823,-15.0
76,1648802614.8269184,-5.0
77,1648802915.5108466,5.0
78,1648803215.8017862,0.0
79,1648803514.5747972,15.0
