,time,value
0,1642917815.717674,0.0
1,1642921363.2609649,0.0
2,1642924976.9522386,0.0
3,1642928585.1328673,0.0
4,1642932157.707694,0.0
5,1642935763.4762125,0.0
6,1642939366.3271224,0.0
7,1642942950.810843,0.0
8,1642946553.7759748,0.0
9,1642950148.2389784,0.0
10,1642953764.6269453,0.0
11,1642957336.8800085,0.0
12,1642960960.2817864,0.0
13,1642964557.6983063,0.0
14,1642968159.1126187,0.0
15,1642971736.9181051,0.0
16,1642975353.0012994,0.0
17,1642978934.336002,0.0
18,1642982970.2591505,0.0
19,1642986185.1782665,0.0
20,1642989757.1577902,0.0
21,1642993359.1551461,0.0
22,1642996993.8861392,0.0
23,1643000605.483144,0.0
24,1643004230.234861,0.0
25,1643007735.891128,0.0
26,1643011371.891671,0.0
27,1643014992.9152544,0.0
28,1643018554.487542,0.0
29,1643022172.2285695,0.0
30,1643025770.077216,0.0
31,1643029346.739216,0.0
32,1643032963.6993015,0.0
33,1643036555.5006745,0.0
34,1643040177.1428757,0.0
35,1643043761.595217,0.0
36,1643047349.4165218,0.0
37,1643050948.9919662,0.0
38,1643054551.3103871,0.0
39,1643058150.2128856,0.0
40,1643061747.477202,0.0
41,1643065318.6991954,0.0
42,1643069124.4796512,0.0
43,1643072600.5314207,0.0
44,1643076152.175243,0.0
45,1643079755.9309888,0.0
46,1643083413.6670387,0.0
47,1643087004.4692912,0.0
48,1643090635.150211,0.0
49,1643094167.2389905,0.0
50,1643097779.1291573,0.0
51,1643101389.2849097,0.0
52,1643104968.922014,0.0
53,1643108562.8140144,0.0
54,1643112169.9032795,0.0
55,1643115750.2733562,0.0
56,1643119356.3819938,0.0
57,1643122964.2588215,0.0
58,1643126574.2587278,0.0
59,1643130152.9609632,0.0
60,1643133751.0586658,0.0
61,1643137365.412352,0.0
62,1643140965.6884956,0.0
63,1643144549.4563487,0.0
64,1643148147.4314618,0.0
65,1643151713.3265328,0.0
66,1643155507.6526415,0.0
67,1643158969.8640113,0.0
68,1643162581.7355204,0.0
69,1643166145.2025106,0.0
70,1643169798.4710941,0.0
71,1643173378.09764,0.0
72,1643177041.5853777,0.0
73,1643180539.233722,0.0
74,1643184181.931344,0.0
75,1643187787.0043185,0.0
76,1643191363.0805242,0.0
77,1643194950.8063545,0.0
78,1643198563.3683183,0.0
79,1643202139.3383958,0.0
80,1643205756.4799533,0.0
81,1643209343.5178535,0.0
82,1643212970.2947001,0.0
83,1643216534.9640894,0.0
84,1643220194.4349437,0.0
85,1643223766.3616853,0.0
86,1643227362.4945161,0.0
87,1643230955.1916628,0.0
88,1643234535.3959153,0.0
89,1643238126.7070813,0.0
90,1643241920.9541428,0.0
91,1643245353.8848562,0.0
92,1643248951.4704201,0.0
93,1643252549.2133467,0.0
94,1643256204.466384,0.0
95,1643259788.1824596,0.0
96,1643263442.8517895,0.0
97,1643266959.037214,0.0
98,1643270582.1982558,0.0
99,1643274195.4670389,0.0
100,1643277766.3795981,0.0
101,1643281369.8215795,0.0
102,1643284963.5469956,0.0
103,1643288587.0349221,0.0
104,1643292164.4268749,0.0
105,1643295775.4973035,0.0
106,1643299361.8030777,0.0
107,1643302951.2823274,0.0
108,1643306556.1466174,0.0
109,1643310153.629056,0.0
110,1643313755.240854,0.0
111,1643317338.6087544,0.0
112,1643320943.1594799,0.0
113,1643324504.4336362,0.0
114,1643328286.7923486,0.0
115,1643331761.1875947,0.0
116,1643335344.7506294,0.0
117,1643338938.5185952,0.0
118,1643342603.2620595,0.0
119,1643346187.9491215,0.0
120,1643349818.2407103,0.0
121,1643353347.271355,0.0
122,1643356968.8663144,0.0
123,1643360593.35549,0.0
124,1643364134.5691826,0.0
125,1643367761.3270447,0.0
126,1643371365.474504,0.0
127,1643374937.8800223,0.0
128,1643378527.9679978,0.0
129,1643382125.6034746,0.0
130,1643385752.5713859,0.0
131,1643389334.8746452,0.0
132,1643392939.007143,0.0
133,1643396551.452966,0.0
134,1643400146.958369,0.0
135,1643403738.3945096,0.0
136,1643407337.1665814,0.0
137,1643410927.831171,0.0
138,1643414728.3159344,0.0
139,1643418186.0901275,0.0
140,1643421795.0933924,0.0
141,1643425335.4532647,0.0
142,1643428998.4130409,0.0
143,1643432615.8415465,0.0
144,1643436224.4979897,0.0
145,1643439766.1452487,0.0
146,1643443381.6914284,0.0
147,1643446989.5168102,0.0
148,1643450559.559613,0.0
149,1643454184.2557116,0.0
150,1643457768.1722662,0.0
151,1643461352.3297498,0.0
152,1643464948.8685138,0.0
153,1643468549.0266254,0.0
154,1643472167.466248,0.0
155,1643475755.0066133,0.0
156,1643479353.2999964,0.0
157,1643482947.6130328,0.0
158,1643486547.0329127,0.0
159,1643490152.2432284,0.0
160,1643493740.3806887,0.0
161,1643497309.6897173,0.0
