,time,value
0,1648821441.5987873,21.0
1,1648821622.6512945,21.0
2,1648821802.334044,21.0
3,1648821982.6126587,20.0
4,1648822161.8855877,19.0
5,1648822342.046062,18.0
6,1648822522.3747811,16.0
7,1648822702.0688198,18.0
8,1648822882.425104,22.0
9,1648823061.9351068,20.0
10,1648823242.3149486,19.0
11,1648823422.3145509,17.0
12,1648823602.237076,18.0
13,1648823782.537428,18.0
14,1648823962.0171163,18.0
15,1648824141.9019792,18.0
16,1648824321.8876884,19.0
17,1648824502.0560665,20.0
18,1648824681.9156778,19.0
19,1648824862.2196963,19.0
20,1648825042.0373075,19.0
21,1648825221.693331,21.0
22,1648825402.3340786,24.0
23,1648825581.7585475,22.0
24,1648825763.0606966,22.0
25,1648825942.005692,23.0
26,1648826121.8190074,23.0
27,1648826301.8246555,23.0
28,1648826481.9816463,24.0
29,1648826662.1518347,25.0
30,1648826842.1111658,24.0
31,1648827022.1409922,23.0
32,1648827202.039032,25.0
33,1648827381.693374,27.0
34,1648827561.832999,25.0
35,1648827741.964651,25.0
36,1648827922.1226535,25.0
37,1648828101.8195035,25.0
38,1648828282.002633,29.0
39,1648828461.914868,26.0
40,1648828641.996508,28.0
41,1648828821.778402,27.0
42,1648829002.1953137,24.0
43,1648829181.6590838,26.0
44,1648829361.5572813,31.0
45,1648829541.7281053,29.0
46,1648829721.994432,27.0
47,1648829901.8278658,26.0
48,1648830081.670259,26.0
49,1648830261.776199,26.0
50,1648830441.9007523,24.0
51,1648830622.667042,24.0
52,1648830803.70743,24.0
53,1648830981.5592694,24.0
54,1648831161.811871,24.0
55,1648831341.9532623,25.0
56,1648831522.156973,24.0
57,1648831702.0496535,26.0
58,1648831881.7436025,30.0
59,1648832061.6732695,31.0
60,1648832242.3454418,33.0
61,1648832421.8761623,35.0
62,1648832601.8770485,36.0
63,1648832781.7606606,36.0
64,1648832962.8991385,34.0
65,1648833142.5237944,35.0
66,1648833322.2434366,30.0
67,1648833502.0270135,30.0
68,1648833681.8855228,30.0
69,1648833862.3798118,31.0
70,1648834042.6406157,37.0
