,time,value
0,1648833862.3711705,30.0
1,1648834042.6519709,30.0
2,1648834221.81739,30.0
3,1648834403.260745,30.0
4,1648834582.76988,30.0
5,1648834761.8911183,30.0
6,1648834941.739629,30.0
7,1648835121.8382888,30.0
8,1648835302.2678244,30.0
9,1648835482.0893478,30.0
10,1648835661.7500818,30.0
11,1648835842.1502025,30.0
12,1648836022.1885877,30.0
13,1648836202.3152595,30.0
14,1648836382.253677,30.0
15,1648836561.8596156,30.0
16,1648836742.0243316,30.0
17,1648836921.999228,30.0
18,1648837101.870455,30.0
19,1648837281.7996314,30.0
20,1648837461.6560113,30.0
21,1648837641.8361373,30.0
22,1648837821.8696682,30.0
23,1648838002.6895,30.0
24,1648838181.7541466,30.0
25,1648838361.734321,30.0
26,1648838542.10548,30.0
27,1648838721.8882043,30.0
28,1648838901.9282556,30.0
29,1648839082.1351705,30.0
30,1648839261.8923883,30.0
31,1648839444.171906,30.0
32,1648839622.4645545,30.0
33,1648839801.7881253,30.0
34,1648839982.153885,30.0
35,1648840162.0593143,30.0
36,1648840342.1561334,30.0
37,1648840521.6633694,30.0
38,1648840701.9443016,30.0
39,1648840881.8328035,30.0
40,1648841061.618562,30.0
41,1648841241.7383351,30.0
42,1648841421.529932,30.0
43,1648841602.404873,30.0
44,1648841781.881463,30.0
45,1648841962.3605127,30.0
46,1648842142.1920433,30.0
47,1648842322.0296845,30.0
48,1648842502.15655,30.0
49,1648842682.3346176,30.0
50,1648842862.0297585,30.0
51,1648843042.3616238,30.0
52,1648843222.4153817,30.0
53,1648843402.3583426,30.0
54,1648843581.9772782,30.0
55,1648843762.133249,30.0
56,1648843943.335524,30.0
57,1648844121.8542264,30.0
58,1648844302.105831,30.0
59,1648844481.862606,30.0
60,1648844661.8230345,30.0
61,1648844842.272234,30.0
62,1648845021.7551515,30.0
63,1648845201.8464904,30.0
64,1648845382.0285175,30.0
65,1648845562.1906357,30.0
66,1648845742.9489942,30.0
67,1648845921.8884902,30.0
68,1648846102.266009,30.0
69,1648846282.1097136,30.0
70,1648846462.056336,30.0
71,1648846642.0699353,30.0
72,1648846822.3119912,30.0
73,1648847002.0938342,30.0
74,1648847182.0065088,30.0
75,1648847362.8756704,30.0
76,1648847541.7512274,30.0
77,1648847722.3580322,30.0
78,1648847902.012625,30.0
79,1648848082.4153523,30.0
80,1648848261.4491715,30.0
81,1648848442.3668969,30.0
82,1648848622.4289906,30.0
83,1648848802.0331678,30.0
84,1648848982.106725,30.0
85,1648849161.9954503,30.0
86,1648849342.1668339,30.0
87,1648849522.783001,30.0
88,1648849701.984001,30.0
89,1648849881.489195,30.0
90,1648850061.67947,30.0
91,1648850241.6566935,30.0
92,1648850422.4033654,30.0
93,1648850601.9492397,30.0
94,1648850782.3102586,30.0
95,1648850961.9365168,30.0
96,1648851142.070429,30.0
97,1648851322.088291,30.0
98,1648851502.1614985,30.0
99,1648851681.7571616,30.0
100,1648851862.0430765,30.0
101,1648852042.0275753,30.0
102,1648852221.9763615,30.0
103,1648852401.8453867,30.0
104,1648852581.8017142,30.0
105,1648852761.4665756,30.0
106,1648852942.210033,30.0
107,1648853121.9003558,30.0
108,1648853301.6003144,30.0
109,1648853481.9098234,30.0
110,1648853662.1792789,30.0
111,1648853841.9973314,30.0
112,1648854022.1593027,30.0
113,1648854202.0513828,30.0
114,1648854381.7605004,30.0
115,1648854561.5991273,30.0
116,1648854742.023169,30.0
117,1648854922.0905936,30.0
118,1648855101.808455,30.0
119,1648855282.0415733,30.0
120,1648855461.7724326,30.0
121,1648855642.639652,30.0
122,1648855822.2692895,30.0
123,1648856001.8600366,30.0
124,1648856181.9798124,30.0
125,1648856362.216976,30.0
126,1648856541.6910255,30.0
127,1648856722.0026913,30.0
128,1648856901.4759831,30.0
129,1648857081.9138029,30.0
130,1648857261.7890975,30.0
131,1648857441.7458518,30.0
132,1648857621.8945525,30.0
133,1648857802.1677885,30.0
134,1648857982.004471,30.0
135,1648858161.7292624,30.0
